"","x"
"755",3434
"756",3435
"757",3379
"758",3392
"759",3371
"760",3371
"761",3382
"762",3378
"763",3390
"764",3372
"765",3341
"766",3301
"767",3340
"768",3417
"769",3385
"770",3360
"771",3354
"772",3373
"773",3370
"774",3383
"775",3366
"776",3327
"777",3326
"778",3368
"779",3343
"780",3267
"781",3227
"782",3244
"783",3229
"784",3264
"785",3214
"786",3228
"787",3188
"788",3204
"789",3244
"790",3224
"791",3225
"792",3259
"793",3303
"794",3301
"795",3324
"796",3297
"797",3249
"798",3239
"799",3268
"800",3278
"801",3251
"802",3252
"803",3239
"804",3251
"805",3237
"806",3257
"807",3305
"808",3307
"809",3269
"810",3255
"811",3279
"812",3235
"813",3255
"814",3285
"815",3354
"816",3366
"817",3417
"818",3429
"819",3475
"820",3503
"821",3512
"822",3537
"823",3486
"824",3467
"825",3450
"826",3425
"827",3415
"828",3427
"829",3426
"830",3439
"831",3479
"832",3465
"833",3438
"834",3471
"835",3487
"836",3438
"837",3391
"838",3398
"839",3401
"840",3402
"841",3414
"842",3457
"843",3473
"844",3489
"845",3454
"846",3484
"847",3474
"848",3474
"849",3484
"850",3477
"851",3449
"852",3443
"853",3473
"854",3506
"855",3525
"856",3520
"857",3531
"858",3560
"859",3525
"860",3567
"861",3521
"862",3509
"863",3533
"864",3539
"865",3458
"866",3467
"867",3542
"868",3565
"869",3548
"870",3579
"871",3577
"872",3563
"873",3609
"874",3584
"875",3586
"876",3598
"877",3563
"878",3564
"879",3560
"880",3605
"881",3617
"882",3603
"883",3619
"884",3592
"885",3585
"886",3580
"887",3563
"888",3520
"889",3512
"890",3482
"891",3490
"892",3442
"893",3464
"894",3538
"895",3519
"896",3509
"897",3541
"898",3600
"899",3625
"900",3624
"901",3634
"902",3578
"903",3577
"904",3561
"905",3544
"906",3529
"907",3521
"908",3481
"909",3491
"910",3437
"911",3445
"912",3486
"913",3531
"914",3543
"915",3532
"916",3492
"917",3471
"918",3466
"919",3441
"920",3479
"921",3453
"922",3457
"923",3436
"924",3419
"925",3420
"926",3464
"927",3471
"928",3458
"929",3450
"930",3439
"931",3436
"932",3447
"933",3447
"934",3444
"935",3466
"936",3450
"937",3462
"938",3481
"939",3533
"940",3530
"941",3501
"942",3472
"943",3410
"944",3458
"945",3469
"946",3455
"947",3431
"948",3407
"949",3451
"950",3446
"951",3444
"952",3428
"953",3414
"954",3441
"955",3425
"956",3448
"957",3405
"958",3391
"959",3370
"960",3368
"961",3379
"962",3357
"963",3318
"964",3330
"965",3335
"966",3305
"967",3271
"968",3289
"969",3288
"970",3309
"971",3276
"972",3289
"973",3268
"974",3315
"975",3296
"976",3304
"977",3339
"978",3299
"979",3249
"980",3244
"981",3216
"982",3227
"983",3241
"984",3235
"985",3268
"986",3247
"987",3272
"988",3270
"989",3325
"990",3314
"991",3326
"992",3318
"993",3395
"994",3455
"995",3397
"996",3415
"997",3429
"998",3465
"999",3469
"1000",3484
"1001",3456
"1002",3428
"1003",3400
"1004",3391
"1005",3388
"1006",3348
"1007",3370
"1008",3383
"1009",3418
"1010",3395
"1011",3380
"1012",3370
"1013",3333
"1014",3314
"1015",3313
"1016",3284
"1017",3288
"1018",3250
"1019",3219
"1020",3178
"1021",3147
"1022",3184
"1023",3276
"1024",3295
"1025",3251
"1026",3262
"1027",3284
"1028",3265
"1029",3262
"1030",3223
"1031",3245
"1032",3234
"1033",3245
"1034",3248
"1035",3303
"1036",3286
"1037",3240
"1038",3240
"1039",3256
"1040",3247
"1041",3226
"1042",3229
"1043",3167
"1044",3134
"1045",3157
"1046",3119
"1047",3137
"1048",3112
"1049",3106
"1050",3082
"1051",3074
"1052",3045
"1053",3014
"1054",2979
"1055",3020
"1056",3009
"1057",3022
"1058",3051
"1059",3050
"1060",3068
"1061",3122
"1062",3148
"1063",3200
"1064",3253
"1065",3213
"1066",3281
"1067",3307
"1068",3305
"1069",3254
"1070",3242
"1071",3304
"1072",3324
"1073",3323
"1074",3330
"1075",3351
"1076",3315
"1077",3289
"1078",3252
"1079",3271
"1080",3253
"1081",3256
"1082",3219
"1083",3189
"1084",3192
"1085",3193
"1086",3155
"1087",3184
"1088",3236
"1089",3229
"1090",3255
"1091",3251
"1092",3217
"1093",3224
"1094",3260
"1095",3270
"1096",3264
"1097",3249
"1098",3230
"1099",3234
"1100",3238
"1101",3258
"1102",3269
"1103",3276
"1104",3264
"1105",3222
"1106",3194
"1107",3167
"1108",3211
"1109",3243
"1110",3248
"1111",3235
"1112",3267
"1113",3261
"1114",3210
"1115",3209
"1116",3202
"1117",3232
"1118",3209
"1119",3192
"1120",3185
"1121",3199
"1122",3242
"1123",3259
"1124",3225
"1125",3215
"1126",3230
"1127",3202
"1128",3177
"1129",3157
"1130",3122
"1131",3127
"1132",3163
"1133",3134
"1134",3129
"1135",3147
"1136",3174
"1137",3183
"1138",3185
"1139",3200
"1140",3183
"1141",3222
"1142",3252
"1143",3235
"1144",3276
"1145",3318
"1146",3306
"1147",3248
"1148",3222
"1149",3252
"1150",3230
"1151",3237
"1152",3282
"1153",3295
"1154",3298
"1155",3325
"1156",3273
"1157",3255
"1158",3288
"1159",3317
"1160",3356
"1161",3328
"1162",3326
"1163",3323
"1164",3360
"1165",3370
"1166",3379
"1167",3432
"1168",3407
"1169",3377
"1170",3357
"1171",3362
"1172",3340
"1173",3311
"1174",3294
"1175",3274
"1176",3283
"1177",3301
"1178",3263
"1179",3273
"1180",3296
"1181",3276
"1182",3252
"1183",3223
"1184",3238
"1185",3240
"1186",3233
"1187",3227
"1188",3199
